OID,origin_zone_lat,origin_zone_long,dest_zone_lat,dest_zone_long,count
1,45.40385583645003,9.181180263276293,45.47572260285089,9.30941844696546,1
2,45.40385583645003,9.21316744497832,45.430805873850346,9.3284388792395,1
3,45.40385583645003,9.21316744497832,45.44428089255051,9.290085617812831,1
4,45.40385583645003,9.21316744497832,45.46224758415072,9.091626088325006,1
5,45.40385583645003,9.270744372041976,45.45326423835061,9.283715719217394,1
6,45.40834750935008,9.219575818459198,45.430805873850346,9.226031033321783,1
7,45.40834750935008,9.219575818459198,45.43978921965046,9.322076600346346,1
8,45.40834750935008,9.25796348872688,45.48470594865099,9.347894374778868,1
9,45.40834750935008,9.270759378816107,45.40385583645003,9.21316744497832,1
10,45.41283918225013,9.245180573660912,45.46224758415072,9.245323501525109,1
11,45.41283918225013,9.257977481399024,45.47123092995083,9.373451119250944,1
12,45.41283918225013,9.270774389137134,45.45326423835061,9.238894448280195,1
13,45.41733085515019,9.277188365819848,45.44877256545056,9.290102185908854,1
14,45.41733085515019,9.277188365819848,45.48021427575094,9.283812171656647,1
15,45.41733085515019,9.283587328633612,45.44428089255051,9.283683598803206,1
16,45.41733085515019,9.334779031143738,45.43978921965046,9.354084147059192,1
17,45.41733085515019,9.334779031143738,45.45775591125067,9.334960174993649,1
18,45.41733085515019,9.449960361791517,45.41733085515019,9.449960361791517,1
19,45.41733085515019,9.449960361791517,45.43978921965046,9.37969018442947,1
20,45.41733085515019,9.449960361791517,45.45326423835061,9.360552183681165,1
21,45.41733085515019,9.449960361791517,45.45775591125067,9.270924687653483,1
22,45.42182252805024,9.258005476666428,45.45775591125067,9.270924687653483,1
23,45.42631420095029,9.258019479263616,45.47572260285089,9.354257577353014,1
24,45.42631420095029,9.264419460327746,45.48919762155104,9.328694209097714,1
25,45.42631420095029,9.277219422456009,45.43978921965046,9.270864525605791,1
26,45.42631420095029,9.277219422456009,45.47572260285089,9.213334596134985,1
27,45.42631420095029,9.32841927096906,45.435297546750405,9.315656492553687,1
28,45.42631420095029,9.32841927096906,45.43978921965046,9.219652450865238,1
29,45.42631420095029,9.32841927096906,45.43978921965046,9.309273581661207,1
30,45.42631420095029,9.424418986931032,45.44428089255051,9.354105807909088,1
31,45.42631420095029,9.424418986931032,45.49818096735115,9.258243971670984,1
32,45.430805873850346,9.226031033321783,45.45775591125067,9.232503395249386,1
33,45.430805873850346,9.232431523691645,45.45326423835061,9.270909641806766,1
34,45.430805873850346,9.277234956280644,45.45326423835061,9.32213395144928,1
35,45.430805873850346,9.2836354466505,45.430805873850346,9.322038388869643,1
36,45.430805873850346,9.315637898499787,45.435297546750405,9.32205749234968,1
37,45.430805873850346,9.322038388869643,45.43978921965046,9.219652450865238,1
38,45.430805873850346,9.322038388869643,45.44428089255051,9.36690984592834,1
39,45.430805873850346,9.3284388792395,45.40385583645003,9.21316744497832,1
40,45.430805873850346,9.3284388792395,45.43978921965046,9.341281128374051,1
41,45.430805873850346,9.3284388792395,45.46224758415072,9.302960031475148,1
42,45.430805873850346,9.3284388792395,45.48021427575094,9.367091480594311,1
43,45.430805873850346,9.33483936960936,45.44428089255051,9.213261389697324,1
44,45.430805873850346,9.405244763677787,45.466739257050776,9.309382204942596,1
45,45.430805873850346,9.405244763677787,45.47123092995083,9.315805403355151,1
46,45.435297546750405,9.219641495613816,45.46224758415072,9.251727560408446,1
47,45.435297546750405,9.219641495613816,45.48919762155104,9.226180252070092,1
48,45.435297546750405,9.219641495613816,45.49368929445109,9.23259938275828,1
49,45.435297546750405,9.2324434952058,45.45326423835061,9.226088370869569,1
50,45.435297546750405,9.238844495001793,45.44428089255051,9.258075522764704,2
51,45.435297546750405,9.238844495001793,45.44428089255051,9.27728157979358,1
52,45.435297546750405,9.238844495001793,45.48021427575094,9.29021827234416,1
53,45.435297546750405,9.264448494185755,45.44877256545056,9.174856667559334,1
