coords,origin_id
9.354062491329636-45.435297546750405,45
9.354062491329636-45.435297546750405,45
9.360463491125628-45.435297546750405,46
9.360463491125628-45.435297546750405,46
9.360463491125628-45.435297546750405,46
9.36686449092162-45.435297546750405,47
9.37326549071761-45.435297546750405,48
9.386067490309594-45.435297546750405,49
9.392468490105584-45.435297546750405,50
9.392468490105584-45.435297546750405,50
9.392468490105584-45.435297546750405,50
9.392468490105584-45.435297546750405,50
9.398869489901577-45.435297546750405,51
9.398869489901577-45.435297546750405,51
9.398869489901577-45.435297546750405,51
9.398869489901577-45.435297546750405,51
9.405270489697568-45.435297546750405,52
9.405270489697568-45.435297546750405,52
9.41167148949356-45.435297546750405,53
9.41167148949356-45.435297546750405,53
9.174841885467254-45.43978921965046,54
9.187644904152393-45.43978921965046,55
9.19404641349496-45.43978921965046,56
9.21325094152267-45.43978921965046,57
9.21325094152267-45.43978921965046,57
9.21325094152267-45.43978921965046,57
9.21325094152267-45.43978921965046,57
9.21325094152267-45.43978921965046,57
9.219652450865238-45.43978921965046,58
9.219652450865238-45.43978921965046,58
9.219652450865238-45.43978921965046,58
9.219652450865238-45.43978921965046,58
9.226053960207809-45.43978921965046,59
9.226053960207809-45.43978921965046,59
9.226053960207809-45.43978921965046,59
9.226053960207809-45.43978921965046,59
9.226053960207809-45.43978921965046,59
9.232455469550375-45.43978921965046,60
9.232455469550375-45.43978921965046,60
9.232455469550375-45.43978921965046,60
9.238856978892946-45.43978921965046,61
9.238856978892946-45.43978921965046,61
9.245258488235516-45.43978921965046,62
9.245258488235516-45.43978921965046,62
9.245258488235516-45.43978921965046,62
9.245258488235516-45.43978921965046,62
9.245258488235516-45.43978921965046,62
9.251659997578084-45.43978921965046,63
9.251659997578084-45.43978921965046,63
9.251659997578084-45.43978921965046,63
9.251659997578084-45.43978921965046,63
9.251659997578084-45.43978921965046,63
9.251659997578084-45.43978921965046,63
9.264463016263225-45.43978921965046,64
9.264463016263225-45.43978921965046,64
9.264463016263225-45.43978921965046,64
9.264463016263225-45.43978921965046,64
9.264463016263225-45.43978921965046,64
9.264463016263225-45.43978921965046,64
9.270864525605791-45.43978921965046,65
9.270864525605791-45.43978921965046,65
9.270864525605791-45.43978921965046,65
9.270864525605791-45.43978921965046,65
9.270864525605791-45.43978921965046,65
9.270864525605791-45.43978921965046,65
9.270864525605791-45.43978921965046,65
9.270864525605791-45.43978921965046,65
9.270864525605791-45.43978921965046,65
9.270864525605791-45.43978921965046,65
9.270864525605791-45.43978921965046,65
9.277266034948362-45.43978921965046,66
9.277266034948362-45.43978921965046,66
9.277266034948362-45.43978921965046,66
9.277266034948362-45.43978921965046,66
9.277266034948362-45.43978921965046,66
9.277266034948362-45.43978921965046,66
9.277266034948362-45.43978921965046,66
9.277266034948362-45.43978921965046,66
9.277266034948362-45.43978921965046,66
